100,0.39,0.58
200,0.38,0.63
300,0.37,0.61
400,0.36,0.67
500,0.35,0.75
600,0.33999999999999997,0.81
700,0.32999999999999996,0.71
800,0.31999999999999995,0.75
900,0.30999999999999994,0.8
1000,0.29999999999999993,0.75
1100,0.2899999999999999,0.77
1200,0.2799999999999999,0.82
1300,0.2699999999999999,0.71
1400,0.2599999999999999,0.82
1500,0.2499999999999999,0.78
1600,0.23999999999999988,0.83
1700,0.22999999999999987,0.73
1800,0.21999999999999986,0.78
1900,0.20999999999999985,0.92
2000,0.19999999999999984,0.88
2100,0.18999999999999984,0.99
2200,0.17999999999999983,0.91
2300,0.16999999999999982,0.97
2400,0.1599999999999998,0.9
2500,0.1499999999999998,0.93
2600,0.1399999999999998,0.93
2700,0.12999999999999978,0.97
2800,0.11999999999999979,0.94
2900,0.10999999999999979,0.95
3000,0.0999999999999998,0.96
3100,0.0899999999999998,0.91
3200,0.07999999999999981,0.95
3300,0.06999999999999981,0.92
3400,0.05999999999999981,0.97
3500,0.04999999999999981,0.95
3600,0.03999999999999981,0.96
3700,0.029999999999999805,0.96
3800,0.019999999999999803,0.97
3900,0.009999999999999802,0.97
4000,0.0,0.97
4100,0.0,0.96
4200,0.0,0.94
4300,0.0,0.97
4400,0.0,0.93
4500,0.0,0.96
4600,0.0,0.92
4700,0.0,0.9
4800,0.0,0.96
4900,0.0,0.93
5000,0.0,0.93
5100,0.0,0.95
5200,0.0,0.95
5300,0.0,0.96
5400,0.0,0.93
5500,0.0,0.95
5600,0.0,0.91
5700,0.0,0.94
5800,0.0,0.92
5900,0.0,0.92
6000,0.0,0.94
6100,0.0,0.88
6200,0.0,0.93
6300,0.0,0.95
6400,0.0,0.93
6500,0.0,0.93
6600,0.0,0.92
6700,0.0,0.9
6800,0.0,0.97
6900,0.0,0.91
7000,0.0,0.97
7100,0.0,0.91
7200,0.0,0.93
7300,0.0,0.94
7400,0.0,0.97
7500,0.0,0.9
7600,0.0,0.96
7700,0.0,0.95
7800,0.0,0.94
7900,0.0,0.97
8000,0.0,0.93
8100,0.0,0.93
8200,0.0,0.93
8300,0.0,0.91
8400,0.0,0.91
8500,0.0,0.93
8600,0.0,0.9
8700,0.0,0.9
8800,0.0,0.92
8900,0.0,0.93
9000,0.0,0.97
9100,0.0,0.91
9200,0.0,0.91
9300,0.0,0.94
9400,0.0,0.93
9500,0.0,0.92
9600,0.0,0.91
9700,0.0,0.97
9800,0.0,0.95
9900,0.0,0.96
